protocol,selected_protocol,target,model,seed,train_hf_rows,train_lf_rows,test_hf_rows,include_source,hf_weight,r2,mae,rmse,mape_pct
hf_only,,power_uW,RandomForest,1,56,0,24,False,,-0.6310773695349052,2.1580931483085375,2.7090012788789926,79.41928423539512
lf_only,,power_uW,RandomForest,1,0,155,24,False,,-1.8867821839085166,3.0086097313601243,3.6039514943177022,54.10453179195033
naive_merge_equal_weight,,power_uW,RandomForest,1,56,155,24,False,,-0.651962938365956,2.1402165186638555,2.7262901775453483,78.62711098670033
weighted_merge_no_source,,power_uW,RandomForest,1,56,155,24,False,1.0,-0.651962938365956,2.1402165186638555,2.7262901775453483,78.62711098670033
weighted_merge_no_source,,power_uW,RandomForest,1,56,155,24,False,1.5,-0.6616503264157194,2.146686396442565,2.7342722043491534,78.95669142819125
weighted_merge_no_source,,power_uW,RandomForest,1,56,155,24,False,2.0,-0.6916881946990521,2.1683104196480603,2.758875410003238,79.58713463119163
weighted_merge_no_source,,power_uW,RandomForest,1,56,155,24,False,3.0,-0.6838454023123135,2.1644532797412457,2.7524728047688596,79.73968923852377
weighted_merge_no_source,,power_uW,RandomForest,1,56,155,24,False,5.0,-0.6670352189722479,2.1623888153339283,2.738699084154046,79.34587547388688
weighted_merge_no_source,,power_uW,RandomForest,1,56,155,24,False,10.0,-0.6632261601328069,2.173681906107302,2.7355684269024945,79.3452435184833
source_indicator_equal_weight,,power_uW,RandomForest,1,56,155,24,True,,-0.6449052099836932,2.1406810130768252,2.72046014027638,78.54749940076654
source_indicator_weighted,,power_uW,RandomForest,1,56,155,24,True,1.5,-0.6553195117624655,2.1436432908935767,2.7290585052053857,78.81896880433534
source_indicator_weighted,,power_uW,RandomForest,1,56,155,24,True,3.0,-0.6777591792080413,2.1606798473923714,2.7474939247129906,79.68776402313345
two_stage_lf_plus_hf_residual,,power_uW,RandomForest,1,56,155,24,False,,-0.7889134778292157,2.289440197512741,2.837047433999839,82.34856818705978
source_aware_validation_gate,naive_merge_equal_weight,power_uW,RandomForest,1,56,155,24,False,,-0.651962938365956,2.1402165186638555,2.7262901775453483,78.62711098670033
hf_only,,delay_ns,GradientBoosting,2,56,0,24,False,,0.2240784024993986,0.09737001997287703,0.12903494967607174,66.08459188813217
lf_only,,delay_ns,GradientBoosting,2,0,155,24,False,,-330.01998292727546,1.795218771627941,2.665173844374164,1001.3808110406823
naive_merge_equal_weight,,delay_ns,GradientBoosting,2,56,155,24,False,,-1.6461332536228634,0.15482709005486978,0.23828916301139194,120.18108458963634
weighted_merge_no_source,,delay_ns,GradientBoosting,2,56,155,24,False,1.0,-1.6461332536228634,0.15482709005486978,0.23828916301139194,120.18108458963634
weighted_merge_no_source,,delay_ns,GradientBoosting,2,56,155,24,False,1.5,-1.681281934590504,0.1433833063115992,0.23986654385174735,117.02745853099302
weighted_merge_no_source,,delay_ns,GradientBoosting,2,56,155,24,False,2.0,-0.9398945179712321,0.14220889113266705,0.20402692983429754,112.3092612783366
weighted_merge_no_source,,delay_ns,GradientBoosting,2,56,155,24,False,3.0,-0.773924203513723,0.14369604669649455,0.19510390693897386,110.62890214794427
weighted_merge_no_source,,delay_ns,GradientBoosting,2,56,155,24,False,5.0,-0.038135895752239746,0.10743723983854443,0.14925384929831437,78.49145593533163
weighted_merge_no_source,,delay_ns,GradientBoosting,2,56,155,24,False,10.0,0.28701024041713574,0.09707239186395773,0.1236915644996723,62.715672675373234
source_indicator_equal_weight,,delay_ns,GradientBoosting,2,56,155,24,True,,-1.6391715115403138,0.1537909829864447,0.2379754977341177,120.04500770778309
source_indicator_weighted,,delay_ns,GradientBoosting,2,56,155,24,True,1.5,-1.6812819345905043,0.14338330631159915,0.23986654385174738,117.02745853099299
source_indicator_weighted,,delay_ns,GradientBoosting,2,56,155,24,True,3.0,-0.7574798242428646,0.14265013753293007,0.19419748919929355,109.82101010006559
two_stage_lf_plus_hf_residual,,delay_ns,GradientBoosting,2,56,155,24,False,,-21.39067132793,0.35107675542711464,0.6931576075031438,185.21259903096342
source_aware_validation_gate,source_indicator_weighted_1.5,delay_ns,GradientBoosting,2,56,155,24,True,1.5,-1.6812819345905043,0.14338330631159915,0.23986654385174738,117.02745853099299
hf_only,,delay_ns,RandomForest,2,56,0,24,False,,0.29475175929065267,0.08972847307684524,0.12301822099622002,62.35752212777946
lf_only,,delay_ns,RandomForest,2,0,155,24,False,,-411.5168211303222,2.0056172854519643,2.9752212534900173,1153.0541441924838
naive_merge_equal_weight,,delay_ns,RandomForest,2,56,155,24,False,,-1.089474098930347,0.13160059004942656,0.2117468374074102,83.71975161924045
weighted_merge_no_source,,delay_ns,RandomForest,2,56,155,24,False,1.0,-1.089474098930347,0.13160059004942656,0.2117468374074102,83.71975161924045
weighted_merge_no_source,,delay_ns,RandomForest,2,56,155,24,False,1.5,0.1647694618101928,0.09532313541164404,0.13387565817772032,67.4354194894568
weighted_merge_no_source,,delay_ns,RandomForest,2,56,155,24,False,2.0,0.25849289235168127,0.09060429166488056,0.1261409494851273,65.49509732821454
weighted_merge_no_source,,delay_ns,RandomForest,2,56,155,24,False,3.0,0.3645878407038078,0.08514138165360617,0.11676863331837743,62.865529808916584
weighted_merge_no_source,,delay_ns,RandomForest,2,56,155,24,False,5.0,0.28689997524814537,0.09114983843440634,0.12370112869312712,63.67477491099455
weighted_merge_no_source,,delay_ns,RandomForest,2,56,155,24,False,10.0,0.28491733959434606,0.09182807453804888,0.12387297277235827,63.498154986236045
source_indicator_equal_weight,,delay_ns,RandomForest,2,56,155,24,True,,-0.9322787843292966,0.12857189562587232,0.20362604650004942,81.29703676589806
source_indicator_weighted,,delay_ns,RandomForest,2,56,155,24,True,1.5,0.21584223827544957,0.0934024833699685,0.1297179746822607,65.9830358036947
source_indicator_weighted,,delay_ns,RandomForest,2,56,155,24,True,3.0,0.36619110741919536,0.08509591378380459,0.11662122544920242,62.71704525907557
two_stage_lf_plus_hf_residual,,delay_ns,RandomForest,2,56,155,24,False,,-6.585521978834253,0.19633475704968562,0.40345134912340314,139.3585622030579
source_aware_validation_gate,hf_only,delay_ns,RandomForest,2,56,0,24,False,,0.29475175929065267,0.08972847307684524,0.12301822099622002,62.35752212777946
hf_only,,power_uW,GradientBoosting,2,56,0,24,False,,-0.7152757227881359,2.71522501482615,3.294885398513277,99.61563934316318
