experiment,target,model,train_rows,test_rows,heldout_cell,fewshot_k,r2,mae,rmse,mape_pct
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,10,70,NOR2,10,-0.034253894483358804,0.15899634709981633,0.25257368213739484,39.564874789625925
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,10,70,NOR2,10,0.1108223063567857,0.15163978704913034,0.2341902406106687,38.27759682662056
cell_transfer,power_avg_uW,RandomForest,250,70,NOR2,10,0.9661485763395272,0.4277154774528557,0.5418224281456372,9.435659844989567
cell_transfer,power_avg_uW,GradientBoosting,250,70,NOR2,10,0.9782275442080884,0.33698972425234114,0.4345324536150053,6.907800450638916
cell_transfer,power_avg_uW,MLP,250,70,NOR2,10,0.9378384506281784,0.5829534765489827,0.7342254337161582,13.426040584355562
cell_fewshot_from_scratch,power_avg_uW,RandomForest,10,70,NOR2,10,0.5678661896995549,1.5837601776578236,1.9358764320730002,38.250256610565266
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,10,70,NOR2,10,0.5746281655251245,1.5649112942036911,1.9206705363777512,34.124479604055786
cell_transfer,delay_avg_ns,RandomForest,260,60,NOR2,20,0.7973390907769854,0.06094995897066101,0.09063267451265565,21.680819336517292
cell_transfer,delay_avg_ns,GradientBoosting,260,60,NOR2,20,0.8904351026223802,0.044981241583511154,0.06664008167981232,15.884446218315848
cell_transfer,delay_avg_ns,MLP,260,60,NOR2,20,0.7677607960511618,0.078436702493736,0.09702140726811484,31.7982713435641
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,20,60,NOR2,20,0.2223507588355016,0.1448477298959325,0.17753814539863105,74.2653116934888
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,20,60,NOR2,20,0.3058376844680557,0.12100846905452442,0.1677375591808358,49.828419020329726
cell_transfer,power_avg_uW,RandomForest,260,60,NOR2,20,0.9718706511790864,0.4103555988001196,0.5201839969517408,10.016655632207977
cell_transfer,power_avg_uW,GradientBoosting,260,60,NOR2,20,0.980030425672524,0.34716613985052497,0.43828998978007616,7.764013497034158
cell_transfer,power_avg_uW,MLP,260,60,NOR2,20,0.9879850138026123,0.27390986914275484,0.3399685838249278,8.040677839261294
cell_fewshot_from_scratch,power_avg_uW,RandomForest,20,60,NOR2,20,0.8310802010218264,0.9882090874629622,1.2747277082586261,25.856952094232906
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,20,60,NOR2,20,0.8231291963209103,1.0336613645292219,1.3043832781879026,26.288221440347026
cell_transfer,delay_avg_ns,RandomForest,280,40,NOR2,40,0.8050017805442911,0.07052828233190929,0.11271351590848655,16.485826713542394
cell_transfer,delay_avg_ns,GradientBoosting,280,40,NOR2,40,0.8481342758527365,0.05448951771922267,0.0994696424516343,11.823573058061074
cell_transfer,delay_avg_ns,MLP,280,40,NOR2,40,0.41164064879625206,0.14431009603784897,0.19578616713330113,39.56185030564064
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,40,40,NOR2,40,0.484166351881101,0.11449295704166466,0.18332238899098585,30.791916956226483
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,40,40,NOR2,40,0.5714829295893482,0.1103401700779906,0.16708779882266295,31.33706833933878
cell_transfer,power_avg_uW,RandomForest,280,40,NOR2,40,0.966937911760408,0.4041502724992025,0.5134928330129088,7.994173571309404
cell_transfer,power_avg_uW,GradientBoosting,280,40,NOR2,40,0.9737417310769059,0.3656016705755044,0.45761714994198,8.107163509273068
cell_transfer,power_avg_uW,MLP,280,40,NOR2,40,0.9718902640479538,0.38850263238224214,0.4734756283936976,9.154315554294033
cell_fewshot_from_scratch,power_avg_uW,RandomForest,40,40,NOR2,40,0.8693007764192066,0.7450893041661104,1.0209530006506535,16.261971422896412
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,40,40,NOR2,40,0.8939494177165498,0.7095213454677842,0.9196567753768273,15.2830827299245
cell_transfer,delay_avg_ns,RandomForest,240,80,XOR2,0,0.6100374877211702,0.11201944292989438,0.1460474261053108,28.390797257612345
cell_transfer,delay_avg_ns,GradientBoosting,240,80,XOR2,0,0.6694025174866904,0.11333151452306596,0.13447211907824744,31.082837359283523
cell_transfer,delay_avg_ns,MLP,240,80,XOR2,0,0.16712724826203962,0.1651794556968646,0.21343803043600554,48.63566272437298
cell_transfer,power_avg_uW,RandomForest,240,80,XOR2,0,0.4902446088325779,2.0788197612177783,2.5355581886017045,25.80385076453071
cell_transfer,power_avg_uW,GradientBoosting,240,80,XOR2,0,0.581900113828352,1.9380741615873625,2.2963215024463306,25.255393060261728
cell_transfer,power_avg_uW,MLP,240,80,XOR2,0,-0.26215422242988784,3.7435726589916456,3.9897793674850783,50.65944156978549
cell_transfer,delay_avg_ns,RandomForest,245,75,XOR2,5,0.6778952075096258,0.09491679967648511,0.1348541452214994,24.082805605909765
cell_transfer,delay_avg_ns,GradientBoosting,245,75,XOR2,5,0.8506931409348363,0.060454420438904345,0.09181329781854605,15.0818348551457
cell_transfer,delay_avg_ns,MLP,245,75,XOR2,5,0.6375335055204558,0.10852665686126471,0.14305387986315526,31.042661801861627
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,5,75,XOR2,5,0.08131878205304544,0.16305539477511127,0.22774461978114027,48.75425359971642
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,5,75,XOR2,5,0.1291011008209605,0.169635778058411,0.22174282599617867,52.01782645699902
cell_transfer,power_avg_uW,RandomForest,245,75,XOR2,5,0.5179387963236834,2.0018068389578243,2.4775888656349037,24.955867666351182
cell_transfer,power_avg_uW,GradientBoosting,245,75,XOR2,5,0.7825233003330165,1.3148952437400907,1.6641195283826467,16.56538066939087
cell_transfer,power_avg_uW,MLP,245,75,XOR2,5,0.6449952862385104,1.784848075991729,2.126156409712706,22.758874672993176
cell_fewshot_from_scratch,power_avg_uW,RandomForest,5,75,XOR2,5,0.08416869062927623,2.8791622285511136,3.4149621420852143,59.377747805144665
